ID_Aluno,Idade,Tipo_escola,Escolaridade,Estado,Municipio,Trabalhando,Estudando,Concluiu_EAD,Aprender_EAD,Recursos,Disponibilidade_Tutoria,Disponibilidade_3_Meses,Pessoas_Casa,Renda_Familiar,Conheceu_PROA,Horario_Estudando,Data_Inscrição,Dias_Espera_Aprovacao,Dias_Espera_Inicio
137,19,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Não,Nunca realizei um curso a distância,Não sei dizer,Computador,Sim,Sim,4,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Instagram,Já concluí,20/09/2022,9.0,118
138,20,public,Cursando o 3º ano do Ensino Médio,SC,São José,Não,Sim,Ainda não concluí um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi,Sim,Sim,3,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Indicação de familiar,Já concluí,20/09/2022,0.0,118
139,20,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,4,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Outros,Já concluí,20/09/2022,6.0,118
147,18,public,Ensino Médio concluído e não estudando,SP,Taboão da Serra,Não,Não,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,4,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Junior Achievement,Já concluí,20/09/2022,0.0,118
148,20,public,Cursando o 3º ano do Ensino Médio,SP,Ferraz de Vasconcelos,Não,Não,Nunca realizei um curso a distância,Eu prefiro cursos presenciais,Celular próprio/Internet wifi,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Junior Achievement,Já concluí,20/09/2022,0.0,118
149,19,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Não,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,3,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Indicação de familiar,Já concluí,20/09/2022,1.0,118
157,18,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Tablet próprio/Internet wifi/Internet 4G,Sim,Sim,4,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Indicação de familiar,Já concluí,20/09/2022,0.0,118
158,19,public,Cursando o 3º ano do Ensino Médio,RJ,São Gonçalo,Não,Sim,Sim e fiz totalmente pelo computador,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Instagram,Já concluí,20/09/2022,0.0,118
159,22,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Não,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,3,Entre 3 e 4 salários mínimos (R$3.300 – R$4.400),Indicação de familiar,Já concluí,20/09/2022,1.0,118
167,18,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Não,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi/Internet 4G,Sim,Sim,7,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Indicação de ex-aluno do PROA ou atual,Já concluí,20/09/2022,2.0,118
168,19,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Não,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,5,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Instagram,Já concluí,20/09/2022,0.0,118
169,20,public,Cursando o 3º ano do Ensino Médio,SC,Palhoça,Não,Sim,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi,Sim,Sim,4,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),ETEC ou cursos do Centro Paula Souza,Já concluí,20/09/2022,1.0,118
177,20,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Não,Nunca realizei um curso a distância,Eu prefiro cursos presenciais,Computador/Celular próprio/Internet wifi,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),ETEC ou cursos do Centro Paula Souza,Já concluí,20/09/2022,1.0,118
178,20,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Não,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,4,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Google,Já concluí,20/09/2022,0.0,118
179,21,public,Cursando o Ensino Superior,SP,São Paulo,Não,Não,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,5,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Indicação de familiar,Já concluí,20/09/2022,0.0,118
187,18,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Sim e fiz totalmente pelo computador,Eu prefiro cursos presenciais,Computador/Celular próprio/Internet wifi,Sim,Sim,2,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Divulgação do iFood,Manhã,20/09/2022,0.0,118
188,17,public,Ensino Médio concluído e não estudando,SP,São Paulo,Não,Sim,Sim e fiz totalmente pelo computador,Eu prefiro cursos presenciais,Computador/Internet wifi,Sim,Sim,2,Até 1 salário mínimo (até R$1.100),Instagram,Integral,20/09/2022,0.0,118
189,17,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Sim e fiz totalmente pelo computador,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi,Sim,Sim,5,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Telecentro,Manhã,20/09/2022,0.0,118
197,20,public,Cursando o 3º ano do Ensino Médio,SP,Osasco,Sim,Sim,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio,Sim,Sim,7,Até 1 salário mínimo (até R$1.100),Indicação de familiar,Noite,20/09/2022,0.0,118
198,19,public,Cursando o 3º ano do Ensino Médio,RJ,Nova Iguaçu,Não,Não,Nunca realizei um curso a distância,Não sei dizer,Celular próprio/Internet wifi,Sim,Sim,4,Até 1 salário mínimo (até R$1.100),LinkedIn,Já concluí,20/09/2022,0.0,118
199,22,public,Cursando o 3º ano do Ensino Médio,RS,Cachoeirinha,Não,Não,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi,Sim,Sim,2,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Indicação de familiar,Já concluí,20/09/2022,0.0,118
207,18,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Nunca realizei um curso a distância,Não sei dizer,Celular próprio,Sim,Sim,2,Até 1 salário mínimo (até R$1.100),Outros,Noite,21/09/2022,1.0,117
208,18,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Sim e fiz totalmente pelo computador,Eu prefiro cursos presenciais,Computador/Celular próprio/Internet wifi,Sim,Sim,5,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Divulgação na escola,Integral,21/09/2022,2.0,117
209,21,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,3,Até 1 salário mínimo (até R$1.100),Telecentro,Já concluí,21/09/2022,0.0,117
217,18,public,Cursando o 3º ano do Ensino Médio,RJ,Nova Friburgo,Não,Sim,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,5,Até 1 salário mínimo (até R$1.100),Instagram,Manhã,21/09/2022,67.0,117
218,18,public,Cursando o 3º ano do Ensino Médio,SP,São Bernardo do Campo,Não,Sim,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi,Sim,Sim,4,Entre 3 e 4 salários mínimos (R$3.300 – R$4.400),Indicação de ex-aluno do PROA ou atual,Integral,21/09/2022,2.0,117
219,20,public,Cursando o 3º ano do Ensino Médio,RJ,Rio de Janeiro,Não,Não,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Instagram,Já concluí,21/09/2022,0.0,117
227,17,public,Cursando o 3º ano do Ensino Médio,RJ,Belford Roxo,Não,Sim,Nunca realizei um curso a distância,Não sei dizer,Celular próprio,Sim,Sim,5,Até 1 salário mínimo (até R$1.100),ETEC ou cursos do Centro Paula Souza,Manhã,21/09/2022,0.0,117
228,19,public,Cursando o 3º ano do Ensino Médio,SP,Guarulhos,Não,Sim,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi,Sim,Sim,4,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),ETEC ou cursos do Centro Paula Souza,Já concluí,21/09/2022,0.0,117
229,20,public,Cursando o 3º ano do Ensino Médio,RJ,Rio de Janeiro,Não,Sim,SIm e fiz totalmente pelo celular,Eu prefiro cursos presenciais,Celular próprio/Internet wifi,Sim,Sim,5,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Indicação de familiar,Noite,21/09/2022,0.0,117
237,17,public,Cursando o 3º ano do Ensino Médio,SP,Caieiras,Não,Sim,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi,Sim,Sim,5,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Junior Achievement,Integral,21/09/2022,0.0,117
238,19,public,Cursando o 3º ano do Ensino Médio,RJ,Rio de Janeiro,Não,Não,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi,Sim,Sim,5,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Programa de televisão,Já concluí,21/09/2022,0.0,117
239,18,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Nunca realizei um curso a distância,Não sei dizer,Celular próprio/Internet wifi,Sim,Sim,3,Até 1 salário mínimo (até R$1.100),Divulgação na escola,Noite,21/09/2022,1.0,117
247,21,public,Cursando o 3º ano do Ensino Médio,SP,Guarulhos,Não,Não,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio,Sim,Sim,5,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Junior Achievement,Já concluí,21/09/2022,0.0,117
248,21,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Não,Nunca realizei um curso a distância,Não sei dizer,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,4,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Google,Já concluí,21/09/2022,0.0,117
249,19,public,Cursando o 3º ano do Ensino Médio,SP,Itapecerica da Serra,Não,Não,Ainda não concluí um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Instagram,Já concluí,21/09/2022,0.0,117
257,18,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Nunca realizei um curso a distância,Não sei dizer,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,2,Até 1 salário mínimo (até R$1.100),Divulgação na escola,Integral,21/09/2022,4.0,117
258,20,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Não,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet 4G,Sim,Sim,4,Entre 3 e 4 salários mínimos (R$3.300 – R$4.400),LinkedIn,Já concluí,21/09/2022,47.0,117
259,17,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi,Sim,Sim,6,Entre 3 e 4 salários mínimos (R$3.300 – R$4.400),Indicação de familiar,Integral,21/09/2022,0.0,117
267,18,scholarship,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Nunca realizei um curso a distância,Não sei dizer,Computador/Celular próprio/Internet wifi,Sim,Sim,3,Entre 4 e 5 salários mínimos (R$4.400 – R$5.500),Outros,Manhã,21/09/2022,69.0,117
268,17,public,Cursando o 3º ano do Ensino Médio,RS,Porto Alegre,Não,Sim,SIm e fiz totalmente pelo celular,Quase nada,Celular próprio/Internet wifi,Sim,Sim,3,Até 1 salário mínimo (até R$1.100),Google,Tarde,21/09/2022,4.0,117
269,18,public,Ensino Médio concluído e não estudando,RJ,Duque de Caxias,Não,Sim,Nunca realizei um curso a distância,Não sei dizer,Celular próprio/Internet wifi,Sim,Sim,4,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Indicação de ex-aluno do PROA ou atual,Já concluí,21/09/2022,40.0,117
277,18,public,Ensino Médio concluído e não estudando,SP,São Paulo,Não,Sim,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi/Internet 4G,Sim,Sim,5,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Instagram,Manhã,21/09/2022,0.0,117
278,22,public,Cursando o 3º ano do Ensino Médio,SP,Itapecerica da Serra,Não,Sim,Sim e fiz totalmente pelo computador,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,1,Até 1 salário mínimo (até R$1.100),Indicação de ex-aluno do PROA ou atual,Já concluí,21/09/2022,1.0,117
279,20,public,Cursando o 3º ano do Ensino Médio,RS,Cruz Alta,Não,Sim,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,1,Até 1 salário mínimo (até R$1.100),Instagram,Noite,21/09/2022,7.0,117
287,20,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Não,Nunca realizei um curso a distância,Eu prefiro cursos presenciais,Celular próprio/Internet wifi,Sim,Sim,5,Até 1 salário mínimo (até R$1.100),Junior Achievement,Já concluí,21/09/2022,0.0,117
